session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
0,599,1,4,-0.3811050563347681,1,1.554848495160435,1,1,0,1
1,472,1,3,0.9729086263444565,1,-0.16802062432726886,0,2,0,0
2,629,1,3,-0.9124553984406011,1,2.3018294145782465,2,0,0,1
3,804,2,4,-0.24346069117320943,1,-1.174381128697149,0,4,0,1
4,453,1,5,-0.3308131298209956,0,-1.5604026840728549,1,2,0,0
5,453,2,5,-0.5241477899488299,0,0.5144514040208147,2,0,1,0
6,815,0,4,-0.08217826357971832,0,0.46526874001048996,1,0,0,1
7,653,1,3,-0.9918445667123039,1,-1.3185765772421518,3,0,1,1
8,406,1,2,-0.3180766507698689,2,-0.2074691078164806,0,0,1,0
9,608,2,6,-0.3315718534905097,2,0.523655324739713,1,0,0,0
10,407,2,6,-0.2695577543814526,1,-1.1764888590167772,3,2,0,1
11,406,2,9,-0.764966899176815,1,0.04725992692277573,1,1,0,1
12,548,1,2,-0.7712031655659786,2,0.4264748863974628,2,3,1,0
13,117,1,4,0.05179979392940289,1,0.8012078949258578,2,4,0,1
14,155,1,3,-0.908888360458324,2,0.11930345746015326,3,0,0,1
15,387,0,6,-0.6364537018035039,1,-0.431356595049428,3,0,0,1
16,297,1,8,0.7992638131113545,0,0.07918477563697857,3,2,0,1
17,562,2,1,-0.8964404247416529,2,-1.0983996196819337,2,2,0,0
18,318,1,5,-0.3658418795511414,0,0.3549795569800489,1,4,0,1
19,217,0,2,0.11553122408184115,1,-0.11979601188462154,0,0,0,0
20,793,1,3,-0.85251700353926,0,0.2144020161672631,2,2,0,0
21,454,1,1,-0.6268227129700853,2,0.24008253321672024,1,0,0,0
22,513,1,3,-0.17572612839506851,0,0.9351864818521117,1,2,0,0
23,215,1,8,-0.604742633961996,0,0.737197335584145,2,0,0,1
24,391,1,5,-0.8894096549401166,0,1.1565251278720374,2,2,0,0
25,522,1,4,-0.738849372432459,0,-1.2611237808594626,3,2,0,1
26,269,1,9,-0.8900064713792529,2,0.9904419597480001,0,0,0,1
27,575,1,3,3.1701026732302338,1,0.5030802899548353,0,0,0,0
28,379,2,2,-0.7345441965230791,0,2.5679569769861676,2,0,0,1
29,441,1,7,-0.2387404963545901,0,0.026492740563837762,0,2,0,1
